player,sens,edpi
1nput,0.23,184.0
2zzy,0.355,284.0
6clarity,0.09,144.0
6sonya,0.27,216.0
A1mly,0.225,180.0
ACTiV,0.35,280.0
AKUMAAAAA,0.6,240.0
ALLIN,0.63,252.0
ANGE1,0.3,240.0
ARIANARCHIST,0.15,240.0
Adenina,0.34,272.0
adora,0.21,252.0
adrnking,0.1,160.0
aduka,0.21,336.0
aimDLL,0.53,212.0
akame,0.35,140.0
akz,0.65,520.0
al0rante,0.175,140.0
al1en,0.27,216.0
alain,0.11,176.0
alannn,0.2,160.0
Alexy,0.15,240.0
Alfajer,0.45,180.0
Ambi,0.41,164.0
amidib,0.16,256.0
amy,0.125,200.0
Anima,0.37,296.0
Anishared,0.684,410.4
Anoxai,0.64,256.0
anqh,0.382,305.6
Apotheon,0.41,328.0
arch,0.28,224.0
archiw0w,0.4,320.0
ardiis,0.27,216.0
Aru,0.2,320.0
AsLanM4shadoW,0.51,204.0
ashix,0.55,220.0
aspas,0.4,320.0
Asuna,0.26,364.0
ataraxia,0.48,384.0
Atom,0.3,240.0
avez,0.18,144.0
ayaNq,0.9,720.0
azaziN,0.14,224.0
azul,0.41,410.0
azury,0.125,200.0
azzii,0.135,216.0
B2,0.267,213.6
B3ASTM0D3,0.471,188.4
Jefz,0.3,480.0
BELKY,0.21,168.0
BMV,0.3,240.0
BREKK,0.346,276.8
babybay,0.27,216.0
bacyx,0.7,280.0
BadmaN,0.68,544.0
baesht,0.15,240.0
Barcode,0.69,276.0
Bati,0.28,224.0
BeYours,0.175,280.0
bearkun,0.25,200.0
Beee,0.456,182.4
Belyaks1,0.32,256.0
benjyfishy,0.283,226.4
Benkai,0.3,240.0
BennY,0.315,252.0
benzki,0.25,200.0
BeomJun,0.156,124.8
bipo,0.175,280.0
Blas,0.39,312.0
Blossi,0.359,574.4
blurred,0.35,280.0
Boaster,0.52,208.0
Bobbiexo,0.5,375.0
Boo,0.75,300.0
Bopper,0.3,240.0
Br0die,0.244,390.4
Brasco,0.36,288.0
Brave,0.85,340.0
BraveAF,0.785,314.0
brazy,0.15,240.0
bstrdd,0.44,352.0
BuZz,0.57,228.0
bucher,0.2,160.0
Bunny,0.375,300.0
burzzy,0.32,256.0
byrf,0.44,352.0
Byron,0.52,208.0
Bêk0,0.3,240.0
CALVIN S,0.55,220.0
CHADONjr,0.393,157.2
CHICHOO,0.21,168.0
cNed,0.32,256.0
cacan,0.49,392.0
Cactus,0.75,600.0
cactuzio,0.4,320.0
Cal,0.3,240.0
canezerra,0.08,128.0
Capi,0.345,276.0
Carcass,0.534,213.6
cauanzin,0.28,224.0
ceNder,0.35,140.0
ch1wie,0.27,216.0
chase,0.486,388.8
chewieyy,0.3,240.0
Chibab,0.29,232.0
Ching,0.47,376.0
chiwa,0.25,200.0
Chrissy,0.24,192.0
Chronicle,0.125,200.0
chukl9,0.13,208.0
circu,0.75,300.0
Click,0.35,280.0
Closer,0.31,248.0
Cloy,0.23,184.0
cmd,0.137,219.2
corey,0.331,264.8
CortezZ,0.76,304.0
crab1k,0.3,240.0
crashies,0.23,184.0
crazyguy,0.245,196.0
Critical,0.425,340.0
crow,0.27,216.0
Crunch,0.175,280.0
Cunha20,0.121,193.6
curry,0.188,300.8
cxy0714,0.37,296.0
d3ffo,0.548,438.4
d4v41,0.32,288.0
DEATHMAKER,0.18,360.0
Daitan,0.15,240.0
Daiyana,0.2,320.0
daki,0.31,248.0
Danger,0.13,208.0
Danielesflo,0.645,258.0
Dantedeu5,0.25,600.0
DarKkKy,0.42,336.0
Darker,0.25,200.0
Daveeski,0.22,176.0
DaviH,0.28,224.0
dedmos,0.168,268.8
DeepMans,0.44,352.0
deigara,0.36,288.0
delus1on,0.66,264.0
Demon1,0.1,160.0
Dep,0.516,412.8
diky,0.45,360.0
dinkzj,0.4,320.0
dispenser,0.5,200.0
Divine,0.105,168.0
Dobsha,0.5,400.0
Doma,0.35,280.0
dr0wnzy,0.3,240.0
dragunov,0.7,280.0
draken,0.59,236.0
DrastZ,0.37,296.0
Dreamas,0.63,252.0
Drenyon,0.4,320.0
Ds,0.52,208.0
DubsteP,0.24,384.0
DucT,0.2,320.0
duhax,0.43,344.0
Duplo,0.14,168.0
duy cs,0.393,314.4
eNes,0.23,184.0
eXampL,0.356,284.8
ec1s,0.314,251.2
EdiT99,0.7,280.0
edu,0.11,176.0
ellie,0.25,200.0
Ellie,0.3,240.0
elllement,0.22,352.0
elysiaN,0.22,176.0
Elysium,0.4,320.0
Ember,0.43,172.0
enerii,0.24,192.0
Eren,0.7,280.0
erennTT,0.3,240.0
eva,0.18,288.0
Excite,0.27,216.0
Exterminia,0.33,264.0
Ezzy,0.4,320.0
f0rsakeN,0.712,569.6
f1cio,0.3,240.0
FNS,0.55,220.0
FOG,0.325,260.0
fab,0.175,280.0
FakeAnanas,0.314,251.2
falltw,0.377,301.6
favseven,0.14,224.0
Fei,0.22,352.0
Felix,0.34,272.0
Felox,0.35,280.0
fenNy,0.37,296.0
Feniz,0.25,200.0
Filu,0.38,304.0
Fisker,0.44,176.0
Fit1nho,0.157,251.2
FiveK,0.485,194.0
Fizzy,0.14,224.0
Flaqqo,0.41,164.0
Flash,0.28,224.0
Flashback,0.37,148.0
floppy,0.345,276.0
Forcee,0.36,288.0
Fotzy,0.3,720.0
Foxar,0.25,200.0
foxz,0.24,192.0
frantastic,0.4,120.0
Franzera,0.377,301.6
fred,0.54,216.0
Fresht,0.35,280.0
Frostmisty,0.32,256.0
furyan,0.5,400.0
G4Laxy,0.512,409.6
GGHuiii,0.2,320.0
GMAN,0.6,480.0
GSR,0.145,232.0
GabsoN,0.485,388.0
GangPin,0.47,188.0
ganter,0.4,240.0
GeT0veRiT,0.52,208.0
Ghost,0.713,285.2
giaNco,0.38,304.0
